Constituency,Hebrew,English,Region,VEP,Quota,Votes,Invalid,Valid,Turnout,Largest List,Margin (Blocs),אמת,ג,ודעם,טב,ל,מחל,פה,שס,Opposition Bloc,Likud Bloc,3.25%,נץ,זץ,ז,זך,י,יז,ינ,יף,יק,יר,כ,כן,נ,נז,ני,נק,ףז,ץ,ק,קי,קך,קץ,end
18,אופק רחב,Broad Horizon,2,30935,0.953947272,24076,51,24025,77.82770325,פה,-0.939025917,2287,388,72,3297,437,7319,9072,940,11868,12093,780.8125,149,0,29,2,0,0,1,0,1,1,0,2,11,2,1,0,8,2,1,0,2,1,end
19,אור יהודה ויהוד מערב,Or Yehuda & Yehud West,2,32634,1.006339591,22968,175,22793,70.38058467,מחל,-45.70322808,815,235,24,610,454,11909,4880,3686,6173,16565,740.7725,125,0,5,0,1,2,2,0,2,0,5,4,13,3,1,0,1,5,1,1,5,4,end
20,אלעד וראש העין דרום,Elad & Rosh HaAyin South,2,32180,0.992339525,26469,123,26346,82.25295214,שס,-90.90909091,167,6909,7,1195,107,6444,915,10374,1196,25116,856.245,194,0,7,0,1,2,1,0,1,0,1,0,1,3,4,0,1,0,0,0,2,10,end
21,"ביל""ו",Bilu,2,30820,0.950400999,22731,100,22630,73.75405581,מחל,-10.44802629,1320,147,55,1092,1075,9788,7634,1323,10084,12437,735.475,87,0,26,2,2,1,1,1,5,1,0,4,18,7,4,3,10,1,9,3,5,6,end
22,גני יהודה,Ganei Yehuda,2,31623,0.975163232,23756,76,17680,75.12253739,פה,15.88927453,1555,354,68,882,683,7304,11384,1325,13690,9936,574.6,71,0,18,0,0,0,0,0,1,2,1,2,17,1,0,2,2,1,2,2,1,2,end
23,לוד דרום ורמלה מזרח,Lydda South & Ramle East,2,31233,0.963136743,20606,182,20424,65.97509045,מחל,-42.48488126,358,839,1827,872,1563,10276,2101,2380,5849,14490,663.78,123,0,10,1,0,1,2,0,3,0,4,8,21,3,3,1,3,6,4,4,6,5,end
24,לוד צפון,Lydda North,2,31833,0.981639033,18912,180,18732,59.41004618,ודעם,21.2082124,272,101,6238,1144,2727,5184,2039,843,11276,7330,608.79,58,0,12,2,3,1,7,4,3,1,4,4,9,9,5,7,7,7,11,4,9,19,end
25,מודיעין צפון,Modiin North,2,31449,0.969797567,24105,78,24027,76.64790613,פה,18.93387832,1996,164,61,1279,1195,7405,10715,623,13967,9520,780.8775,49,0,23,0,2,3,0,3,2,1,3,44,21,4,0,0,6,0,0,2,3,6,end
26,מטה בנימין,Mateh Benjamin,2,32706,1.008559866,25653,66,25587,78.43514951,טב,-85.31232855,223,1729,18,11010,322,7766,1311,2472,1874,23644,831.5775,667,0,23,1,1,1,0,0,0,1,2,1,18,1,0,1,6,2,0,0,0,11,end
27,מכבים-רעות ומודיעין דרום,Maccabim-Reut & Modiin South,2,31478,0.970691845,23754,71,23683,75.46222759,פה,18.5288759,2180,149,66,2989,712,6085,11029,316,13987,9614,769.6975,75,0,25,1,0,1,0,0,1,1,5,2,28,3,0,3,7,3,1,0,0,1,end
28,נס ציונה,Ness Ziona,2,33856,1.04402259,25604,104,25500,75.62618147,פה,25.40387563,2051,159,66,730,890,7666,12945,866,15952,9489,828.75,68,0,18,0,0,1,0,3,0,1,2,3,11,6,0,1,4,0,3,3,3,0,end
29,קרית ספר,Kiryat Sepher,2,33471,1.032150287,27599,386,27213,82.45645484,ג,-99.16117876,19,19406,3,1074,15,1297,77,5156,114,27067,884.4225,134,0,9,0,2,0,0,1,2,0,1,1,7,0,0,1,5,0,0,1,1,1,end
30,ראש העין צפון,Rosh HaAyin North,2,31781,0.980035501,24747,61,24686,77.86727919,פה,5.266574698,1169,402,36,1128,980,8272,10787,1750,12972,11674,802.295,122,0,11,1,0,0,0,1,0,0,1,3,13,1,1,0,3,1,1,0,2,1,end
31,רחובות דרך הים,Rehovot Sea Road,2,32514,1.002639133,21763,102,21661,66.93424371,פה,9.705541387,1737,147,91,721,1519,7672,8482,1117,11829,9736,703.9825,79,0,28,0,1,7,1,3,0,1,0,4,13,6,1,3,6,4,4,5,3,7,end
32,רחובות מושבה,Rehovot Moshava,2,31466,0.970321799,22032,73,21959,70.01843259,פה,8.863418421,1921,1624,117,1658,1472,5100,8410,1498,11920,9979,713.6675,99,0,17,1,0,7,0,1,1,0,3,1,16,1,1,1,1,0,2,1,1,5,end
33,רחובות שעריים,Rehovot Shaarayim,2,31222,0.962797534,21790,111,21679,69.79053232,מחל,-40.08516941,697,1451,24,1914,1595,8883,4156,2650,6472,15132,704.5675,234,0,17,0,0,2,0,0,5,3,2,1,13,4,2,3,2,3,4,4,2,8,end
34,רמלה דרום,Ramle South,2,32357,0.997797701,20675,193,20482,63.89652934,מחל,-21.32947694,430,124,4731,460,584,9343,2279,2362,8024,12375,665.665,86,0,10,2,0,3,4,1,2,0,4,4,15,7,2,4,3,3,9,3,4,3,end
35,רמלה מערב ובאר יעקב,Beer Yakov & Ramle West,2,32514,1.002639133,22760,149,22611,70.00061512,מחל,-31.26635618,676,282,443,623,1007,11156,5622,2636,7748,14797,734.8575,100,0,14,4,0,1,2,0,0,1,3,4,9,3,3,4,1,1,3,3,3,7,end
36,שדות טייסים,Pilots' Fields,2,31827,0.98145401,24282,80,24202,76.29371289,פה,11.67647303,1894,189,46,2372,559,7204,10977,786,13476,10658,786.565,107,0,27,0,4,0,0,0,0,1,4,2,13,0,0,1,11,1,1,0,0,3,end
37,אשדוד המצודה,Ashdod Citadel,3,32231,0.993912219,21961,82,21829,68.13626633,מחל,-16.7041749,554,163,6,745,3658,9620,4850,2106,9068,12705,709.4425,71,0,12,2,1,1,0,0,1,0,1,5,14,1,0,3,4,2,2,1,3,3,end
38,אשדוד הרב לוין,Ashdod Rabbi Levin,3,32538,1.003379225,23853,144,23709,73.30813203,ג,-80.96686951,96,10769,5,167,1354,3625,797,6778,2252,21412,770.5425,73,0,7,2,0,1,0,1,1,0,2,5,5,1,3,2,7,1,3,0,0,4,end
39,אשדוד מרכז,Ashdod Centre,3,32761,1.01025591,21470,127,21343,65.53524007,מחל,-24.12593985,375,295,18,674,4099,9790,3581,2371,8073,13207,693.6475,77,0,10,1,3,0,1,2,0,3,2,3,10,4,1,1,5,5,7,1,2,2,end
40,אשדוד נמל,Ashdod Port,3,33968,1.047476351,18167,138,18029,53.48268959,מחל,-22.87450521,462,221,17,493,3247,8111,3191,2130,6917,11020,585.9425,65,0,9,2,1,2,1,2,5,7,2,9,11,2,2,5,7,7,2,6,4,6,end
41,אשדוד עד הלום,Ashdod Ad Halom,3,31582,0.973898908,21196,116,21080,67.11417896,מחל,-11.40179803,313,2217,14,562,5994,6375,2992,2482,9313,11710,685.1,74,0,11,1,4,1,1,0,1,1,1,5,7,2,1,0,7,7,5,0,1,1,end
42,אשקלון ברנע,Ashkelon Barnea,3,33621,1.03677586,22349,94,22255,66.47333512,מחל,-31.03137396,657,286,21,1169,1967,11274,5005,1697,7650,14534,723.2875,108,0,12,3,5,2,0,0,1,3,5,4,9,3,0,2,5,2,7,0,4,4,end
43,אשקלון התל,Ashkelon Tell,3,33263,1.02573616,20310,137,20173,61.05883414,מחל,-34.43194265,452,493,24,839,3055,9628,3054,2431,6585,13501,655.6225,110,0,17,4,0,2,0,0,4,2,2,4,16,2,3,1,4,3,10,5,3,5,end
44,אשקלון מגדל,Ashkelon Migdal,3,33113,1.021110587,20818,171,20647,62.86956784,מחל,-37.96593674,329,375,23,752,3642,10134,2380,2776,6374,14176,671.0275,139,0,12,0,6,2,0,1,2,2,6,6,8,3,3,1,8,7,8,9,6,7,end
45,בית שמש הרטוב,Beth Shemesh Hartuv,3,32886,1.014110554,20992,148,20844,63.83263395,מחל,-67.55221869,355,4206,17,1275,1329,8680,1670,3096,3371,17407,677.43,150,0,5,1,3,3,1,0,3,1,3,4,11,3,3,4,8,0,4,0,3,6,end
46,בית שמש רמה,Beth Shemesh Heights,3,32271,0.995145706,22325,138,22187,69.17975892,ג,-96.6878751,39,11241,3,2326,53,2669,272,5354,367,21794,721.0775,204,0,9,0,0,0,0,0,0,0,3,0,6,0,0,0,2,0,0,1,2,3,end
47,גדרה ונחל שורק,Gedera & Sorek Valley,3,31486,0.970938542,23415,116,23299,74.36638506,מחל,-17.88929571,1146,1264,38,2302,1519,8465,6828,1447,9531,13684,757.2175,206,0,22,1,4,0,0,3,3,3,0,4,10,3,1,3,13,2,2,1,2,7,end
48,העוטף,The Envelope,3,32506,1.002392436,22134,117,22017,68.09204455,מחל,-15.40039196,2252,251,71,1645,1583,8813,5375,1773,9281,12660,715.5525,178,0,21,0,2,0,2,1,2,0,0,3,10,4,0,1,13,2,6,4,2,3,end
49,חולות ניצנים,Nitzan Dunes,3,33653,1.037762648,23290,109,23181,69.20631147,מחל,-20.88149976,566,227,7,1427,4033,10380,4531,1796,9137,13960,753.3825,130,0,24,1,3,2,1,1,0,3,1,6,15,7,1,0,7,0,6,1,0,5,end
50,חוף השפלה,Shfela Coast,3,32677,1.007665589,24937,68,24869,76.31361508,פה,6.593052309,1915,188,72,2022,783,8205,10455,1103,13225,11589,808.2425,71,0,20,0,1,2,0,1,2,2,0,3,12,1,2,1,2,2,0,1,0,3,end
51,יבנה,Yavne,3,33555,1.034740608,25148,129,25019,74.94561168,מחל,-25.16330702,819,252,23,1078,1077,11421,7418,2733,9337,15616,813.1175,132,0,20,2,3,1,2,0,0,0,1,6,14,1,0,2,5,0,4,1,0,4,end
52,קסטינה,Qastina,3,33058,1.019414544,24097,113,23984,72.89309698,מחל,-28.76506024,1454,1155,97,1099,433,10072,6530,2817,8514,15390,779.48,247,0,15,3,2,0,0,1,5,2,0,7,10,4,3,4,2,1,5,6,3,7,end
53,קרית גת מערב,Kiryat Gath West,3,31595,0.974299791,21300,215,21085,67.41573034,מחל,-43.11839223,342,2101,7,661,2997,8995,2626,3174,5972,15026,685.2625,95,0,12,0,0,2,2,1,4,1,4,7,15,5,8,0,4,3,7,6,4,2,end
54,שדות גת,Gath Fields,3,33308,1.027123831,25768,1730,25164,77.36279572,מחל,-40.90691744,1441,653,36,3155,625,10578,5313,3143,7415,17681,817.83,152,0,16,1,0,0,2,0,1,0,0,3,15,5,2,2,8,1,1,2,5,4,end
55,בת ים חוף,Bat Yam Coast,4,33101,1.020740541,16305,106,16199,49.25833056,מחל,-18.39885119,602,124,83,1009,2368,7446,3766,1237,6819,9894,526.4675,78,0,16,3,8,0,2,0,2,0,3,3,17,2,3,1,3,2,9,1,4,7,end
56,בת ים יוספטל,Bat Yam Yoseftal,4,34207,1.05484643,18165,151,18014,53.10316602,מחל,-12.30065797,578,544,19,460,3319,7004,3948,1971,7864,10070,585.455,91,0,20,3,4,3,3,2,3,0,2,5,9,4,0,2,1,2,6,2,4,5,end
57,בת ים מרכז ועמידר,Bat Yam Centre & Amidar,4,32185,0.992493711,16434,133,16301,51.06105329,מחל,-15.14479359,561,181,55,367,2866,6911,3404,1822,6886,9344,529.7825,63,0,15,0,1,0,1,1,3,1,2,4,12,8,3,4,4,5,5,0,0,2,end
58,חולון הגבורה,Holon Heroism,4,30586,0.943185106,18411,130,18281,60.1942065,מחל,-35.24594669,579,187,30,450,1549,8194,3733,3383,5891,12304,594.1325,90,0,18,1,4,0,1,0,1,5,3,6,8,4,3,3,4,4,7,2,4,8,end
59,חולון החקלאות,Holon Agriculture,4,32866,1.01349381,19569,80,19489,59.5417757,פה,5.949680346,1281,163,59,591,1508,7074,7427,1234,10275,9121,633.3925,59,0,16,0,0,1,0,0,0,2,1,9,25,4,2,0,12,4,6,2,1,8,end
60,חולון הטכנולוגיה,Holon Technology,4,31346,0.966621341,21034,87,20947,67.10266063,מחל,-11.74244239,1028,170,27,669,1080,8948,7076,1797,9211,11662,680.7775,78,0,14,0,4,0,1,0,0,1,2,3,22,2,1,3,6,3,1,4,2,5,end
61,חולון המלאכה,Holon Industry,4,31449,0.969797567,20072,119,19953,63.82396897,מחל,-16.02254428,866,228,27,590,1567,8501,5884,2142,8344,11528,648.4725,67,0,24,0,7,2,1,0,1,0,2,4,14,5,0,2,8,0,4,1,4,2,end
62,חולון מולדת,Holon Homeland,4,32795,1.011304373,22602,102,22500,68.91904254,מחל,-15.26073962,862,146,21,620,1378,10293,7237,1790,9498,12919,731.25,70,0,20,0,4,1,0,1,0,1,1,3,17,8,1,1,6,2,5,2,2,8,end
63,ראשון לציון אליהו,Rishon leZion Eliyahu,4,32111,0.990211761,21824,116,21708,67.96424901,מחל,-13.18732095,834,119,24,721,1307,10086,7229,1250,9394,12248,705.51,72,0,18,0,0,1,0,1,0,1,2,5,8,2,2,1,10,2,4,3,2,4,end
64,ראשון לציון חולות,Rishon leZion Dunes,4,32922,1.015220691,24337,74,24263,73.92321244,מחל,-3.128487003,1015,140,25,733,1032,10502,9648,1040,11720,12477,788.5475,62,0,22,0,6,1,0,0,0,0,1,0,12,0,0,1,1,1,0,1,1,2,end
65,ראשון לציון קריה,Rishon leZion Kirya,4,30821,0.950431836,19107,78,19029,61.99344603,פה,22.25150206,1096,148,35,512,2389,6153,8078,520,11598,7376,618.4425,43,0,15,0,0,2,1,1,2,2,1,1,13,1,0,2,5,1,2,0,1,5,end
66,ראשון לציון ראשונים,Rishon leZion Rishonim,4,32266,0.99499152,20423,81,20342,63.29572925,פה,22.67456205,1216,143,37,792,2204,6368,8973,469,12430,7835,661.115,63,0,19,0,4,1,0,1,3,2,2,6,15,3,0,1,4,5,4,0,0,7,end
67,"ראשון לציון רמב""ם",Rishon leZion Rambam,4,32443,1.000449696,19983,122,19861,61.59418056,מחל,5.155056407,812,269,29,548,3603,7592,5949,914,10393,9374,645.4825,51,0,22,2,1,3,1,0,0,3,0,6,14,3,3,1,5,3,13,1,5,8,end
68,ראשון לציון שיכוני מזרח,Rishon leZion Eastern Housing,4,31290,0.96489446,22254,85,22169,71.12176414,מחל,-11.48816796,914,283,24,857,1411,9668,7432,1408,9781,12320,720.4925,104,0,20,0,3,1,0,0,1,1,1,4,14,2,1,1,3,2,6,2,4,2,end
69,שדות דן,Dan Fields,4,31208,0.962365814,22871,100,22771,73.28569598,מחל,-32.37612861,859,1371,41,1287,680,9493,6097,2656,7677,15028,740.0575,221,0,10,1,1,0,0,1,1,1,1,2,26,1,0,2,2,4,4,0,6,3,end
70,שער ים,Shaar Yam,4,33760,1.041062224,19871,121,19750,58.85959716,מחל,-13.8251894,666,221,34,510,2683,9101,5091,1295,8474,11193,641.875,66,0,20,0,0,2,0,0,1,1,2,8,18,2,2,2,8,1,3,1,4,8,end
71,בקעת בית הכרם,Shughur Valley,5,32692,1.008128146,25316,75,25241,77.4379053,ודעם,96.92332154,224,21,24433,12,5,59,108,290,24770,387,820.3325,5,0,1,1,0,2,17,1,2,3,2,1,7,2,1,7,3,4,3,8,9,10,end
72,בקעת בית נטופה,Battuf Valley,5,31843,0.981947405,21266,142,21124,66.78390855,ודעם,88.66435262,517,3,18478,12,82,227,762,946,19839,1192,686.53,4,0,1,0,0,3,20,4,2,0,3,5,0,4,1,16,3,9,2,5,2,13,end
73,"גיי""א",JYYA,5,32778,1.010780141,20942,235,20707,63.8904143,ודעם,66.53390324,521,11,10634,78,1545,2466,4443,882,17143,3445,672.9775,8,0,3,3,2,3,21,4,3,1,4,14,12,2,1,12,1,4,8,1,5,15,end
74,חוף הגליל ועכו צפון,Galilee Coast & Acre North,5,33128,1.021573144,22392,124,22268,67.59236899,מחל,-12.98865069,892,108,3015,715,1921,9792,3832,1856,9660,12544,723.71,73,0,15,1,1,1,2,2,1,2,3,5,8,2,1,2,3,2,4,2,4,3,end
75,טמרה וכאבול,Tamra & Kabul,5,30949,0.954378992,25014,54,24960,80.82328993,ודעם,98.19219026,63,21,24553,7,0,77,51,117,24667,225,811.2,3,0,0,2,2,3,24,2,3,2,0,0,2,2,1,10,0,2,3,4,3,3,end
76,טנטור ועכו דרום,Tantur & Acre South,5,33564,1.035018142,21542,122,21420,64.18186152,ודעם,74.29134597,208,55,16806,106,907,2215,648,343,18569,2739,696.15,20,0,3,3,3,2,16,4,3,1,1,4,4,4,2,14,4,2,12,8,9,13,end
77,כרמיאל,Carmiel,5,31308,0.965449529,19597,123,19474,62.59422512,מחל,7.431107441,676,414,386,608,3776,7312,5571,590,10409,8969,632.905,45,0,18,0,1,1,2,1,5,3,1,5,19,4,1,1,8,1,11,3,8,3,end
78,מגדל תפן,Tephen,5,32504,1.002330762,18731,137,18594,57.62675363,פה,54.82685971,2052,13,3307,145,3024,3611,5947,395,14330,4181,604.305,17,0,0,1,2,3,10,4,0,1,4,11,9,3,2,7,4,0,4,1,3,14,end
79,מעלה הגעתון,Upper Geaton,5,33065,1.019630404,22284,117,22167,67.39452593,ודעם,32.34042553,1614,188,5838,805,2405,5601,4760,827,14617,7473,720.4275,52,0,14,0,2,0,4,2,5,0,5,6,10,0,2,5,6,3,5,0,3,5,end
80,מזרח הגליל,Eastern Galilee,5,33459,1.031780241,23528,85,23443,70.31889776,ודעם,90.2422323,411,17,21212,524,96,342,507,241,22226,1140,761.8975,16,0,6,0,0,2,11,4,1,2,3,7,3,3,1,6,4,2,7,3,4,8,end
81,מרכז הגליל,Central Galilee,5,31247,0.963568463,20735,85,20650,66.3583704,פה,50.69654165,2289,430,4333,999,1614,3300,7233,279,15469,5061,671.125,53,0,14,2,1,3,11,1,0,2,5,5,38,1,3,5,7,2,8,2,3,7,end
82,נהריה,Naharia,5,33622,1.036806697,21215,118,21097,63.09856641,מחל,-10.38256566,860,117,145,794,2151,9628,6261,1005,9417,11599,685.6525,55,0,18,2,2,2,0,3,2,0,2,2,17,0,1,2,6,3,11,3,0,5,end
83,סחנין ועראבה,Sakhnin & Arrabe,5,33434,1.031009312,25629,76,25553,76.65550039,ודעם,99.34099557,269,14,24987,4,5,48,148,15,25409,84,830.4725,3,0,0,0,0,0,18,0,0,0,1,3,2,1,1,13,1,3,2,3,7,5,end
84,צלמון,Zalmon,5,31434,0.96933501,18181,164,18017,57.83864605,ודעם,74.06559026,1145,143,9328,80,1035,1283,4070,795,15578,2321,585.5525,20,0,2,2,1,2,16,4,2,3,6,10,15,1,3,5,4,4,15,6,5,12,end
85,ראש הנקרא,Rosh haNikra,5,32235,0.994035568,21152,96,21056,65.61811695,מחל,-7.946641258,1515,124,511,576,2231,8967,5404,1588,9661,11329,684.32,74,0,22,1,3,1,0,2,0,0,2,3,15,3,0,1,4,5,3,0,0,1,end
86,שפרעם,Shefa 'Amr,5,32628,1.006154569,21594,186,21408,66.18242001,ודעם,97.3056703,311,4,17975,13,1648,227,1083,38,21017,287,695.76,5,0,0,1,1,5,31,1,3,1,3,9,5,2,1,7,2,4,8,5,5,10,end
87,אצבע הגלל,Finger of Galilee,6,33710,1.039520366,21868,106,21762,64.87095817,מחל,4.153207199,2783,106,97,781,1360,8199,7045,1229,11285,10385,707.265,70,0,14,2,2,2,1,2,1,4,3,2,22,7,8,3,5,3,6,0,1,4,end
88,בקעת כסולות,Ksulot Valley,6,32999,1.017595152,21273,138,21135,64.46558987,ודעם,32.73798214,1204,1031,8409,254,1267,4804,3092,919,13972,7080,686.8875,72,0,11,1,0,0,7,1,3,2,1,4,9,4,2,3,6,7,9,1,6,6,end
89,בקעת מגידו,Meggido Valley,6,33440,1.031194335,22816,120,22696,68.22966507,מחל,-2.117688669,1503,543,36,797,2585,7982,6946,2149,11070,11549,737.62,78,0,16,0,2,1,1,1,0,0,3,4,15,1,1,2,10,2,7,2,0,9,end
90,גשר בנות יעקב,Jacob's Daughters Bridge,6,32835,1.012537859,19784,93,19691,60.25277905,מחל,4.850994224,1577,882,2133,1190,1164,6011,5382,1118,10256,9307,639.9575,106,0,30,1,0,2,3,0,9,1,2,6,19,6,5,0,8,5,6,3,12,10,end
91,טבריה,Tiberias,6,32522,1.00288583,19750,95,19655,60.7281225,מחל,-59.32272542,316,1410,40,552,1456,9989,2176,3545,3988,15620,638.7875,124,0,5,2,4,0,0,0,0,2,1,1,6,2,4,1,3,2,5,0,1,8,end
92,כנא,Cana,6,31713,0.977938575,21985,158,21827,69.32488254,ודעם,97.70336686,373,4,20959,12,58,143,131,87,21521,250,709.3775,4,0,0,2,0,1,9,0,0,0,1,3,4,2,1,7,1,1,5,3,4,12,end
93,כנרת,Sea of Galilee,6,32687,1.00797396,22560,73,22487,69.01826414,פה,-2.407002188,2018,345,637,2550,617,6755,7655,1643,10927,11466,730.8275,173,0,34,1,1,3,1,0,4,1,1,2,19,1,2,1,7,5,4,0,2,5,end
94,נוף הגליל,Nof haGalil,6,33630,1.037053394,18687,246,18441,55.56645852,מחל,18.27569251,465,282,4550,301,3596,6418,2213,398,10824,7479,599.3325,80,0,24,1,6,3,10,2,2,2,4,11,6,1,2,6,6,3,23,3,7,16,end
95,נצרת דרום ויפיע,Nazareth South and Yafa',6,33915,1.045841982,20952,116,20836,61.77797435,ודעם,96.82478406,259,2,19769,12,55,259,311,49,20394,329,677.17,7,0,8,0,0,0,22,5,1,4,3,3,3,8,4,9,2,6,9,12,6,8,end
96,נצרת מרכז,Nazareth Centre,6,32683,1.007850612,19920,128,19792,60.94911728,ודעם,97.91761898,129,4,19058,5,63,173,234,18,19484,205,643.24,5,0,1,0,1,1,17,3,3,2,3,9,2,6,3,6,1,10,12,1,7,15,end
97,עמק הירדן,Jordan Valley,6,32438,1.00029551,22771,69,22702,70.19853259,מחל,-34.78587528,1840,233,65,2607,399,9928,5074,2340,7378,15249,737.815,141,0,20,1,1,1,0,1,1,0,2,5,9,4,2,4,7,1,3,2,3,8,end
98,עפולה,Afoula,6,31810,0.980929779,21016,93,20923,66.06727444,מחל,-20.90769526,737,183,1304,779,1727,10283,4475,1261,8243,12601,679.9975,95,0,21,0,2,1,2,1,0,1,3,6,9,3,1,0,6,4,12,1,2,4,end
99,ציפורי,Sepphoris,6,32559,1.004026805,21408,80,21328,65.75140514,ודעם,78.41177025,2131,32,10110,745,217,1431,6459,62,18917,2289,693.16,19,0,4,1,0,4,14,3,6,2,2,6,9,2,2,15,8,8,7,5,10,14,end
100,צפת והר מירון,Saphed & Mt. Meron,6,33537,1.034185539,21586,126,21460,64.36473149,מחל,-50.92466876,586,2923,1467,1458,1104,7976,2084,3519,5241,16118,697.45,242,0,8,1,1,2,1,0,1,2,2,3,30,13,2,5,2,4,7,1,6,10,end
101,תבור,Tabor,6,33575,1.035357351,22404,107,22297,66.7282204,ודעם,77.01667418,844,276,14518,206,993,1905,3285,141,19640,2550,724.6525,22,0,5,0,1,2,21,2,0,1,1,11,7,8,2,13,3,5,6,4,1,14,end
102,זבולון,Zebulon,7,32779,1.010810978,22927,71,22856,69.94417157,פה,28.74807481,2536,2465,4380,409,351,2619,7362,2559,14629,8096,742.82,44,0,22,1,0,2,17,2,0,3,5,3,32,1,4,8,7,4,5,4,3,8,end
